label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,197205349235888.28,3347350360168.398,937490183152.4946,502575277821.549,270129107095.4761,172981430745.78558,132318111135.07983,86746495922.40579,57897274856.836205,46980966874.09538,34655008988.783295,31319998622.580994,23980840964.6804,20283959791.44674,19492720681.19905,16181789732.598188,13851055149.188206,11910277537.846004,9705564338.318966,8588766842.469329,8306087365.1783695,6860305699.197768,7243439909.070491,6244445725.582863,5625177644.981756,5475403956.410637,5150871164.600442,5022546887.005245,5076768120.181417,930519857.2529206
1,206828924706626.7,3219676430641.3657,960420643748.4124,526403395543.19666,255969453721.17798,195115203576.15253,130414138803.33922,94562333368.0026,63708717662.13685,45044173455.78848,41040898318.29788,28834094131.175995,24640999154.043877,21552477200.716557,19279407858.73884,17043941532.73673,13270653144.25105,12047224031.795393,10225182481.621992,8800309209.835161,8873876518.599253,6993045693.012915,7515779249.332895,6560300600.131203,6059437866.079671,5983247446.037073,5719004708.345289,5314622183.488944,5435171321.667454,854933642.7733201
1,133782931322461.05,657069161345.0105,164090751903.06067,91161524388.224,42443375119.804565,33054107811.83712,24545173713.486794,18307920384.617638,5523006821.424093,3583309373.7161283,3014615371.9524918,2331580309.1611614,2181778616.5748672,2003772266.3057442,1697415763.5321808,1519733840.2258136,1375605751.0375924,1217252594.2443678,1022422434.5003251,930155265.3729454,840140602.2093604,752749515.9915833,702283866.7634039,654758133.0760803,586283619.7561057,545025264.7095135,530687859.9791758,478390247.04229033,483736491.63459,113715343.70473841
1,137104643419668.11,725533236058.4177,168956881013.00305,94272844744.37836,40037675385.3663,34402726599.01137,26607582542.040802,19436268288.66176,5098234751.608793,3747898664.509087,3314119626.4580045,2655024006.8972507,2224505542.0518975,2006575750.0713596,1798371341.972052,1663413004.0157385,1492122950.2590494,1303181234.099396,1219301387.8370175,1228837995.6339731,1127014074.4286392,1011673344.4049076,909087919.5696194,816885789.1030986,749376550.1369004,736346956.5667932,725305406.9537178,751586701.0269147,731174823.9161799,166662275.47416008
1,148067189212169.56,1613807492339.7632,514588245153.2548,232502318891.75244,115818930312.68573,73375394525.324,54145964120.4022,35373473956.78262,20046369991.899693,17692300068.872677,16910196157.781685,14765429005.053265,13914886267.871698,11769021371.9006,11120422776.818314,8398023256.743492,5904612570.351696,5090277408.010277,4560370994.228817,3767195796.856023,3027779444.887193,3039800769.9186935,3032141121.604699,2761464145.6547284,2509476183.164071,2653067778.947878,2712422425.771974,2403000637.4525137,2033840105.3512075,369796103.33615756
1,148923153885590.94,2929243097769.993,693533108439.1577,332430475335.4913,179144979978.49,114605509960.24657,80666359775.70685,53401784196.53808,33411382458.330425,28598919911.66292,24316565542.813465,21316700216.830235,17608518821.85259,18678013174.63134,17904128736.79995,17472828260.636963,14188665463.567684,10367007360.41057,8315612225.092381,6914192086.834847,6282108782.156454,5427186931.248095,4267721149.622238,4212917997.7078433,3923110087.4268494,3827575551.785906,3831393221.82508,3852570935.7143927,3725286116.7847958,736828622.7178838
1,116088478448295.69,1570620602469.9219,534127106808.4917,245840576354.4709,135790498075.69508,89834121209.3021,67956373108.00903,44275369396.33989,16754108934.77325,13051383835.542831,11790282344.091148,10663364109.779888,8668041655.355782,10831016022.830536,12564939493.069643,9002928700.871023,5888424645.112401,4415331076.390159,3403282037.5320463,3417938519.543375,2652303546.929037,2560346805.286394,2498175088.6302223,2259075248.2094564,2070383156.8208587,2006659594.1408942,2056615562.2099972,2143232210.65868,2044838821.9494586,447489316.3338704
1,131765503906342.83,1333269701988.9653,462514373861.6096,232228806728.50208,132892234764.12769,85002562465.14572,59916145819.167114,40776682396.964005,18127843071.120148,13897073043.456352,11718202071.398655,10440324643.586126,8957825259.523014,10657580567.546452,12780156066.002445,8346843641.355821,4737168146.851919,4120080115.7010603,3519150342.8328104,2774943507.48487,2777668048.248117,2446098557.742036,2302465792.534831,2311651640.2450004,1989925543.631268,1963019634.7683053,1838930227.7452927,1922562048.3095515,1912291998.798234,420159998.79601157
1,134006201490999.81,92015314945.33679,21903134710.282974,11915015041.069998,8719346211.591236,7272847925.485908,6032474729.820307,4910169067.142031,2715658929.762014,2232915406.268262,1942547531.6782427,1812244197.8863966,1588916083.2767785,1483735941.767016,1372142479.3157723,1141488443.9119911,1081637168.2863703,984501434.9331005,886048592.3748907,787146677.346416,732687110.4789741,641293823.397582,609675490.6744342,539522759.9283854,493847134.65083075,478410821.9988564,461759086.1470548,462550951.23226804,416038885.6608164,108173914.43494697
1,229442546599380.5,3247769665391.6724,1063067601555.6044,491833725265.99475,302294265385.3322,188158740755.62048,136506348409.45038,97127917319.67879,67369582617.18378,50669848361.36715,41995307456.5331,33323208432.95982,26656335172.47325,23996578278.487785,20427870536.095734,18945409048.248703,15188194936.529144,13126199522.873936,11186267668.687561,10863347121.166351,9406225920.54676,8833477145.358572,7987249756.61233,7850699886.603956,6922994039.961433,6954647231.510673,6513515707.885345,6013655974.062408,6182865400.973466,1062334876.051969
1,133745021117902.27,94847290299.23344,21737727721.34999,11623989534.13315,8468168806.338781,6986135958.460207,5969543112.300938,4755956277.7434,2723328917.5432987,2307387795.6560817,1958542598.9604368,1825443795.9521666,1639814111.6957045,1589932611.6384687,1412223764.4149437,1231982266.6941566,1164176213.170044,1052615116.5905383,958856934.8733401,843977977.3127131,808982659.9029129,730159961.5026987,666114116.5635347,633065996.0728824,604867624.8947263,553757661.8370359,570122113.5231543,534805182.7852787,534747173.8024671,144161959.7879207
1,196229696933194.12,3535892513904.5195,1003046830896.3762,564267526027.8933,298283207825.5364,204951533280.588,152037647826.27948,101455414003.2847,68115305050.08965,49382576676.030365,40915194625.01369,34744565638.98143,25243889667.446312,24922384336.40042,18438489731.934654,16395047004.070923,15500150199.99104,12317897352.60892,10736037430.15728,9567255071.58593,8432846388.292326,7435553488.0023365,6594463439.244333,6527435129.664687,5845474635.74133,5439725822.085926,5739679658.6580305,4982656934.968172,5290441731.087458,754664604.385175
1,213240936587166.0,3468910328392.9443,1142353356170.3516,558063007133.0869,312134704831.2296,217360892773.71826,145407805062.77768,114255525455.4717,66326808001.92214,58833871183.231895,41783416851.051865,37888371642.85997,27785800360.905254,26236659702.390945,20168548387.56298,18108838562.823715,16582040534.086676,14621829799.800129,11910819751.929375,10502278649.732376,9881877425.583733,7914532472.740288,8226213550.839359,6810185302.6999035,7029000953.524578,6048360795.376899,6541173854.361842,5455059213.945961,5685863577.173336,831768695.8852527
1,163618699234044.53,2381599674238.0283,726411774242.0063,346433848399.24084,208027734025.36688,135091658574.44604,95365835553.89514,70580434214.43652,45016457521.18675,35595735454.357216,28200358331.33918,22770917449.040657,18156495637.740723,15439679166.141243,13163802738.938934,10852734720.16135,9557822539.978748,7961554525.528045,6948903859.974979,6184200365.969512,5509249542.814167,4707333032.791868,4510089881.785282,4101989931.318924,3643249139.1402035,3583734998.4044456,3454321890.940718,3196797459.788953,3205287988.5296435,452998308.21389186
1,154582013350939.7,3085189404950.382,852323447838.4727,363041984007.4702,215035665655.54694,145332307212.66653,100398575573.47092,71703787635.23184,48906434498.67598,38209382407.88901,31487115484.885517,26040334590.131363,20689602883.966225,18987092335.60532,15937489595.916307,13057260748.772047,11937826197.767391,10782115750.06401,8109223232.842252,7322593965.732313,6438480353.290512,5979269295.819339,5320895588.414747,4616093674.85086,4192035379.8976274,4146053011.659814,3910078862.5278025,3723067490.1761208,3830403403.738187,789415430.4274994
1,129752729763377.31,583251397528.1138,146012666958.08063,74553961779.61992,44095503585.98534,31573031063.943,21514898928.644394,14941423026.290684,5233405427.2481165,4247748199.5891824,3524343159.563188,3188638985.633676,2483332718.759075,2442957597.7052402,2075581333.49266,1915742406.4020796,1644303007.3414278,1565940652.7869775,1349240763.091341,1233905770.3591456,1188680620.3037968,1094825039.005727,1006128128.6207005,964775408.0870492,798144105.9887595,910601509.1229992,852213771.1264589,878903597.2163515,804933253.8894775,165261028.6726152
