label,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,34655008988.783295,31319998622.580994,23980840964.6804,20283959791.44674,19492720681.19905,16181789732.598188,13851055149.188206,11910277537.846004,9705564338.318966,8588766842.469329
1,41040898318.29788,28834094131.175995,24640999154.043877,21552477200.716557,19279407858.73884,17043941532.73673,13270653144.25105,12047224031.795393,10225182481.621992,8800309209.835161
1,3014615371.9524918,2331580309.1611614,2181778616.5748672,2003772266.3057442,1697415763.5321808,1519733840.2258136,1375605751.0375924,1217252594.2443678,1022422434.5003251,930155265.3729454
1,3314119626.4580045,2655024006.8972507,2224505542.0518975,2006575750.0713596,1798371341.972052,1663413004.0157385,1492122950.2590494,1303181234.099396,1219301387.8370175,1228837995.6339731
1,16910196157.781685,14765429005.053265,13914886267.871698,11769021371.9006,11120422776.818314,8398023256.743492,5904612570.351696,5090277408.010277,4560370994.228817,3767195796.856023
1,24316565542.813465,21316700216.830235,17608518821.85259,18678013174.63134,17904128736.79995,17472828260.636963,14188665463.567684,10367007360.41057,8315612225.092381,6914192086.834847
1,11790282344.091148,10663364109.779888,8668041655.355782,10831016022.830536,12564939493.069643,9002928700.871023,5888424645.112401,4415331076.390159,3403282037.5320463,3417938519.543375
1,11718202071.398655,10440324643.586126,8957825259.523014,10657580567.546452,12780156066.002445,8346843641.355821,4737168146.851919,4120080115.7010603,3519150342.8328104,2774943507.48487
1,1942547531.6782427,1812244197.8863966,1588916083.2767785,1483735941.767016,1372142479.3157723,1141488443.9119911,1081637168.2863703,984501434.9331005,886048592.3748907,787146677.346416
1,41995307456.5331,33323208432.95982,26656335172.47325,23996578278.487785,20427870536.095734,18945409048.248703,15188194936.529144,13126199522.873936,11186267668.687561,10863347121.166351
1,1958542598.9604368,1825443795.9521666,1639814111.6957045,1589932611.6384687,1412223764.4149437,1231982266.6941566,1164176213.170044,1052615116.5905383,958856934.8733401,843977977.3127131
1,40915194625.01369,34744565638.98143,25243889667.446312,24922384336.40042,18438489731.934654,16395047004.070923,15500150199.99104,12317897352.60892,10736037430.15728,9567255071.58593
1,41783416851.051865,37888371642.85997,27785800360.905254,26236659702.390945,20168548387.56298,18108838562.823715,16582040534.086676,14621829799.800129,11910819751.929375,10502278649.732376
1,28200358331.33918,22770917449.040657,18156495637.740723,15439679166.141243,13163802738.938934,10852734720.16135,9557822539.978748,7961554525.528045,6948903859.974979,6184200365.969512
1,31487115484.885517,26040334590.131363,20689602883.966225,18987092335.60532,15937489595.916307,13057260748.772047,11937826197.767391,10782115750.06401,8109223232.842252,7322593965.732313
1,3524343159.563188,3188638985.633676,2483332718.759075,2442957597.7052402,2075581333.49266,1915742406.4020796,1644303007.3414278,1565940652.7869775,1349240763.091341,1233905770.3591456
1,3091964994.736868,2711597023.96464,2221772198.8935685,1920049578.87431,1746487102.0896688,1524301415.3768518,1341793499.3671417,1313228787.0292516,1104834090.696782,981319245.7384429
1,36230342519.171715,28663581259.535004,24803939509.814346,23539123719.166126,23845380068.207413,20735144081.654606,15858599520.9099,11470828395.94624,9616509784.140057,9525532570.318653
1,24582786164.396404,23368320692.56742,20603902519.74319,20767021865.61051,17377180192.864307,12260193722.081476,9529162158.426985,9011420046.311783,7107146227.886153,6278068144.842997
1,29686339863.175232,25848693278.154865,20813260500.944374,17232771246.772293,16561008872.62384,12807434493.800219,12602067178.23092,8930155517.39046,8175538940.796873,6665518725.861994
1,42791921508.276825,32207344569.731712,28537839350.186626,22314877620.784325,20623083043.340405,16249308626.823977,15956168679.534166,12685784025.482933,11872535390.301205,10134091772.74157
1,32251519770.038315,26566819728.94039,22700231451.14983,19043278511.864418,17946373471.26236,15317652209.93734,13286231212.767273,10364508159.99865,8125516021.288176,7470986869.755585
1,3840221567.144419,3238299068.9039125,2684071249.3524885,2474032815.999044,2280298728.1975617,1905700334.5308843,1838022399.1144462,1673708648.8387454,1457715834.206149,1373871189.6230612
1,4308818852.723166,3622821333.2916255,3045484897.633361,2583393178.5942283,2534957445.2622795,2215534486.189682,2006936429.2244058,1778351758.92419,1531984177.9032779,1556686265.308134
1,10642983365.813011,9354742813.327898,8465661480.588146,8317283356.795182,7946944003.938322,6330190245.365345,4898419069.574642,3900579656.0083227,3173956424.9602084,2611680166.1716866
1,21428241416.242218,18662572082.13534,17627271623.56004,13263415958.708836,10951543164.234081,9706664958.767456,8472136653.060732,7254479722.444298,6275632149.299982,5362423052.734091
1,8519397907.572468,7583199385.314178,8154860944.23208,8097583162.262753,7184961538.357985,8822315459.644567,8833396500.21519,4530089359.680639,3734389258.3803096,3050854716.774946
1,15475777557.884972,11698863298.701118,11608423557.508228,6926858249.4763565,6359388451.819081,6922838820.63785,6064404047.38693,4199955596.7002053,3774124698.0282774,3143170167.0187564
1,20081600715.029797,16536633643.144138,12985321492.271103,9907645878.554068,8379802230.772203,7330338004.074025,6595114607.377745,5489699689.179586,4577050064.890374,3973863984.5010386
