label,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,8306087365.1783695,6860305699.197768,7243439909.070491,6244445725.582863,5625177644.981756,5475403956.410637,5150871164.600442,5022546887.005245,5076768120.181417,930519857.2529206
1,8873876518.599253,6993045693.012915,7515779249.332895,6560300600.131203,6059437866.079671,5983247446.037073,5719004708.345289,5314622183.488944,5435171321.667454,854933642.7733201
1,840140602.2093604,752749515.9915833,702283866.7634039,654758133.0760803,586283619.7561057,545025264.7095135,530687859.9791758,478390247.04229033,483736491.63459,113715343.70473841
1,1127014074.4286392,1011673344.4049076,909087919.5696194,816885789.1030986,749376550.1369004,736346956.5667932,725305406.9537178,751586701.0269147,731174823.9161799,166662275.47416008
1,3027779444.887193,3039800769.9186935,3032141121.604699,2761464145.6547284,2509476183.164071,2653067778.947878,2712422425.771974,2403000637.4525137,2033840105.3512075,369796103.33615756
1,6282108782.156454,5427186931.248095,4267721149.622238,4212917997.7078433,3923110087.4268494,3827575551.785906,3831393221.82508,3852570935.7143927,3725286116.7847958,736828622.7178838
1,2652303546.929037,2560346805.286394,2498175088.6302223,2259075248.2094564,2070383156.8208587,2006659594.1408942,2056615562.2099972,2143232210.65868,2044838821.9494586,447489316.3338704
1,2777668048.248117,2446098557.742036,2302465792.534831,2311651640.2450004,1989925543.631268,1963019634.7683053,1838930227.7452927,1922562048.3095515,1912291998.798234,420159998.79601157
1,732687110.4789741,641293823.397582,609675490.6744342,539522759.9283854,493847134.65083075,478410821.9988564,461759086.1470548,462550951.23226804,416038885.6608164,108173914.43494697
1,9406225920.54676,8833477145.358572,7987249756.61233,7850699886.603956,6922994039.961433,6954647231.510673,6513515707.885345,6013655974.062408,6182865400.973466,1062334876.051969
1,808982659.9029129,730159961.5026987,666114116.5635347,633065996.0728824,604867624.8947263,553757661.8370359,570122113.5231543,534805182.7852787,534747173.8024671,144161959.7879207
1,8432846388.292326,7435553488.0023365,6594463439.244333,6527435129.664687,5845474635.74133,5439725822.085926,5739679658.6580305,4982656934.968172,5290441731.087458,754664604.385175
1,9881877425.583733,7914532472.740288,8226213550.839359,6810185302.6999035,7029000953.524578,6048360795.376899,6541173854.361842,5455059213.945961,5685863577.173336,831768695.8852527
1,5509249542.814167,4707333032.791868,4510089881.785282,4101989931.318924,3643249139.1402035,3583734998.4044456,3454321890.940718,3196797459.788953,3205287988.5296435,452998308.21389186
1,6438480353.290512,5979269295.819339,5320895588.414747,4616093674.85086,4192035379.8976274,4146053011.659814,3910078862.5278025,3723067490.1761208,3830403403.738187,789415430.4274994
1,1188680620.3037968,1094825039.005727,1006128128.6207005,964775408.0870492,798144105.9887595,910601509.1229992,852213771.1264589,878903597.2163515,804933253.8894775,165261028.6726152
1,927579418.3284341,788730119.8167689,779090192.6070596,671174383.9111229,614997503.6884626,617505702.1995898,576444925.0494616,545379061.2467183,571863852.6051341,122069385.53417313
1,7787123635.081591,7089457917.189804,6066400097.936409,5474227968.42506,5072751434.821549,4897333569.453785,4490200727.3255415,4284849016.0785513,4775218440.044892,974583159.3163142
1,5143606544.472855,4667480334.409289,4282285443.9388533,4266259765.41192,3598606457.6602297,3846843826.439474,3437334594.1034856,3421279970.018338,3407596325.3609056,594383985.3543209
1,6753768523.028703,5809755612.792352,6515598041.255325,4539384241.605543,4057447726.695794,3695231639.2209353,3642100007.394204,3713457822.239169,4030004513.834114,853529936.9052726
1,10046033979.92885,7841963732.992926,8406780444.057375,7247375203.626526,7056563943.276083,6638868584.547102,6554304022.16141,5986579453.417679,6438023872.773971,989849796.8603055
1,6649203839.559948,6160371922.932114,5774446614.968603,5070615507.153612,5017554685.863798,4605955780.874792,4141665875.3779726,3868706662.1481743,3986112638.3067293,770047517.6024649
1,1344623263.5353549,1185587624.3371751,1210129141.756705,1101176896.1803284,991094432.9858451,964643938.4536484,957990640.3784673,901909810.8005618,930985493.7988869,155330056.03610203
1,1441564453.183732,1245338059.6040044,1236406143.2256784,1151386637.6154242,1069682583.9783642,1020970829.0760677,1028139897.0934585,943989255.0723481,1024781615.446541,154059509.32481888
