label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
1,197205349235888.28,3347350360168.398,937490183152.4946,502575277821.549,270129107095.4761,172981430745.78558,132318111135.07983,86746495922.40579,57897274856.836205,46980966874.09538
1,206828924706626.7,3219676430641.3657,960420643748.4124,526403395543.19666,255969453721.17798,195115203576.15253,130414138803.33922,94562333368.0026,63708717662.13685,45044173455.78848
1,133782931322461.05,657069161345.0105,164090751903.06067,91161524388.224,42443375119.804565,33054107811.83712,24545173713.486794,18307920384.617638,5523006821.424093,3583309373.7161283
1,137104643419668.11,725533236058.4177,168956881013.00305,94272844744.37836,40037675385.3663,34402726599.01137,26607582542.040802,19436268288.66176,5098234751.608793,3747898664.509087
1,148067189212169.56,1613807492339.7632,514588245153.2548,232502318891.75244,115818930312.68573,73375394525.324,54145964120.4022,35373473956.78262,20046369991.899693,17692300068.872677
1,148923153885590.94,2929243097769.993,693533108439.1577,332430475335.4913,179144979978.49,114605509960.24657,80666359775.70685,53401784196.53808,33411382458.330425,28598919911.66292
1,116088478448295.69,1570620602469.9219,534127106808.4917,245840576354.4709,135790498075.69508,89834121209.3021,67956373108.00903,44275369396.33989,16754108934.77325,13051383835.542831
1,131765503906342.83,1333269701988.9653,462514373861.6096,232228806728.50208,132892234764.12769,85002562465.14572,59916145819.167114,40776682396.964005,18127843071.120148,13897073043.456352
1,134006201490999.81,92015314945.33679,21903134710.282974,11915015041.069998,8719346211.591236,7272847925.485908,6032474729.820307,4910169067.142031,2715658929.762014,2232915406.268262
1,229442546599380.5,3247769665391.6724,1063067601555.6044,491833725265.99475,302294265385.3322,188158740755.62048,136506348409.45038,97127917319.67879,67369582617.18378,50669848361.36715
1,133745021117902.27,94847290299.23344,21737727721.34999,11623989534.13315,8468168806.338781,6986135958.460207,5969543112.300938,4755956277.7434,2723328917.5432987,2307387795.6560817
1,196229696933194.12,3535892513904.5195,1003046830896.3762,564267526027.8933,298283207825.5364,204951533280.588,152037647826.27948,101455414003.2847,68115305050.08965,49382576676.030365
1,213240936587166.0,3468910328392.9443,1142353356170.3516,558063007133.0869,312134704831.2296,217360892773.71826,145407805062.77768,114255525455.4717,66326808001.92214,58833871183.231895
1,163618699234044.53,2381599674238.0283,726411774242.0063,346433848399.24084,208027734025.36688,135091658574.44604,95365835553.89514,70580434214.43652,45016457521.18675,35595735454.357216
1,154582013350939.7,3085189404950.382,852323447838.4727,363041984007.4702,215035665655.54694,145332307212.66653,100398575573.47092,71703787635.23184,48906434498.67598,38209382407.88901
1,129752729763377.31,583251397528.1138,146012666958.08063,74553961779.61992,44095503585.98534,31573031063.943,21514898928.644394,14941423026.290684,5233405427.2481165,4247748199.5891824
1,124564378651857.08,440514333218.1057,134004486837.89749,57787441748.92493,35664503475.82895,26069189263.812202,18761483550.871254,12453318855.865974,4349379686.96163,3386228669.906863
1,137738629273021.55,3497369075058.657,1057591260295.3563,508720004517.2553,272835963033.27646,164298803600.4353,113077607614.99298,81491380519.9638,53945301246.89896,41728396248.10779
1,134968663826316.95,2790154795272.621,711169168281.8341,380941083659.56476,201128502808.71045,134270474218.54243,88902803072.30025,63962435557.999344,38329746825.51006,29997715139.063843
1,111560424109245.44,3180095975598.21,1066054714475.8263,500601137125.17804,322305147689.01624,181536923098.68787,126819487697.21721,91253980361.27946,47195398146.06444,38871948647.35837
1,194591755729705.3,3013082098423.33,1099765655845.4775,454921425042.7355,306989277178.0365,181040150815.70227,141610633332.76276,91163339688.16557,69601242141.39978,46831173370.24999
1,158377425153096.88,2884147738012.592,781764431108.9769,393497259288.58344,239890995478.97406,156085879006.16467,107959130919.91232,77805215514.41995,50694543629.33252,39415283643.38888
1,119221426111858.81,448282615476.71924,127746968317.59409,55815457909.86191,32410204636.328743,22030905402.79819,15870147987.994696,10844669621.304432,5418387377.985906,4378632171.430971
1,114920391798674.19,502000590660.3257,131036251196.80154,68140309062.836624,36085989658.05827,22911000214.83259,17388734514.34613,12444265872.10429,6061082296.39797,5049885589.446085
1,143756589564822.6,1829438304367.767,446719752885.2893,209935262341.6756,125185445823.81674,77614502444.56012,55427550805.780334,39105533973.77872,17009196575.98483,12121327978.708805
1,147901569137315.78,2280681989576.1987,696357763968.0706,334998397020.39087,191984418008.8429,118355713597.88956,78241158902.12738,56692148654.68339,34274360552.910606,27413521477.314354
1,106311797381590.34,1282909110975.5835,340566465942.65015,165604553784.2304,91380080237.60147,53947137823.310104,37013296902.85164,24585156904.69684,12009791343.032495,10130516976.012402
1,105236605242572.36,1419089779483.296,395407048572.05225,190794017947.68408,98288797843.3443,57957666152.82707,42397714912.697464,29293656129.232986,18756944887.915024,15198831292.640839
1,128079676601450.95,2219526593995.0654,721844662402.34,320032044020.69275,172335796397.15198,118411978762.55852,90073683416.55435,58934822654.15384,31582933635.29387,22715393501.797394
1,125535741404059.78,2068373107378.6052,680070315475.8062,326437934474.32825,178494660194.84613,111927587337.38104,77451300787.18448,54176557475.53334,32119844488.60962,24659193870.133076
1,105914073267346.08,869172699777.8319,229465277022.04028,100637598820.64388,52099368658.54083,30773512981.173347,19508515826.88305,13477825786.785664,8270786726.239763,7091123803.385456
1,197870505441093.38,3183218531384.581,945042747992.1617,501799902687.25336,251909534960.35822,182278106223.1787,125176015772.57498,86976526701.3219,62876001770.264465,41987117204.79779
1,100809150559345.5,832102919732.1614,239734115930.18378,103481582999.37979,51987343045.38307,29352081528.40246,19313687878.86291,13366046833.92109,7970336034.265205,6321502361.890604
1,97887260583415.94,1464147527150.2778,444118711344.98267,213376597904.46997,122163434950.44016,72290206030.50992,54747154200.12459,39597426936.591156,21739116701.03653,17909123532.452362
1,89647422914610.23,1369672355514.3733,515861041143.6764,236731178342.70526,147824714830.61084,73531186396.20163,53611346293.90321,39043647858.50539,22784992138.635468,18557153874.95611
1,117622178582775.36,2177444522942.1938,650174497215.0349,304018156796.38293,167615364529.7428,105060484317.24843,72976108972.4852,54769436098.653015,33289171982.882904,23322832496.64764
1,118560526332084.7,2121567078303.7263,602392622624.634,307074777172.34033,173734504063.26202,106493679038.89255,74519045752.36182,51207530951.597374,30389557641.365852,22608450462.918747
1,97744742849102.9,1027915059474.1351,243837260015.53772,93964980079.92412,51755551414.36618,28757389292.333145,17966049004.672253,14405421053.913311,8756235210.263252,6837407198.651796
1,95421113858154.61,915047291411.7031,228101425564.5218,95633043723.87065,45337773267.1629,26742754313.057182,16868621299.246492,12383142217.856361,7935377828.800001,6533620968.694239
1,125847623305152.48,1188693366020.93,333910636855.32214,160469919203.00287,90791507367.3356,59178670184.211426,45805611484.4622,31481835937.217346,15989161346.57315,14851607757.621983
1,132903794888909.28,1206862006796.6458,326208932111.2053,159514602121.4632,87924001452.1308,59747720839.90373,45605195353.50316,29315949618.082176,14046131759.505564,11146306315.782776
1,118068486226116.17,855612860609.6577,325761666829.84106,169973194887.1831,105024522201.28754,80067927001.28268,57705487814.36232,41489008343.14043,20648845749.926033,14140105966.664564
1,137481306092431.31,772306577753.8889,185686521550.65546,104317165956.43062,44375009016.07323,36703926234.50445,25471147328.51383,20463671058.47384,8121978244.313972,4743069485.519099
1,129879265823388.5,701494028032.5045,238406996531.08997,128889943045.05298,72955088288.62186,49399878410.1268,36270204524.68097,25505056981.2385,14474623213.713095,11208890585.98786
1,138085788485763.75,1649494830258.832,470715894188.01514,199978204405.02118,120032442271.04881,77612864313.48154,59014745942.71444,37436793513.94899,22270505050.890724,17176811554.625633
1,135797116607398.39,1321807233750.7905,389138217309.568,178956387531.1723,97650426704.23944,67564067106.023674,47811938685.95451,32974701145.503975,17413214571.33336,14221940720.696842
1,144605099771500.06,1527739991086.3745,421186223867.7313,206052570530.75058,116344564913.31013,74775565798.27046,61466871334.27153,41133141650.02967,16479984493.929527,14108645954.26395
1,142992562286165.16,1453123255971.9028,433678468757.59235,208411894400.65225,139415505014.82883,91231851974.53496,69321861935.26901,45696238353.757,15699135663.162334,12316858362.536892
1,112518747132585.75,1427659822178.2651,415158325525.63104,226081171678.79227,134628979322.36824,89560714883.34473,64774599619.78767,44861630148.74777,20035339859.41632,15963257926.588276
1,114523490760181.19,1346701793719.6665,404696941144.639,211194256090.88947,117802614467.13222,78470509883.63724,60856115658.53894,42177377607.39415,17770159815.529083,13203176638.884163
1,156338333015669.53,2006047950935.3623,593046066921.096,310805854460.9822,163373073945.77228,81554296964.89578,44149651594.30885,32910874565.246468,21656574722.418926,18131441227.44613
1,155471646035840.3,2318050233582.3105,757286049795.1865,427055001874.69934,206375812588.66788,104257016116.3146,60136381792.46747,40024528492.16269,24641058069.61306,22860350931.541264
1,118403742767364.08,801741864000.8773,256002190081.6156,125987967576.51726,74830121680.62515,55453217627.44693,37264386356.01539,23651704974.484695,10667341482.228115,10235102219.60651
1,119838820215856.78,597666568478.4172,127575863303.61282,64870607789.5787,40796972582.32308,29570451829.02514,22258302089.74234,15106707092.0136,4780891643.041248,4433416776.199879
1,110951729619974.3,851318652916.2809,267362201529.41415,124563421907.10213,71843263465.6937,48225202124.324745,35921377312.52172,24189207216.37181,10561219805.064651,7552992099.05743
1,115887087614486.48,777731695428.6575,191157562044.9456,104718699904.439,69103087525.80574,42388636005.15646,34168885375.85025,22735797306.241962,8704507563.430088,5194691631.050197
1,116691512546805.94,381059716479.93176,121821719803.30989,61851990416.84913,36010911040.56253,23662621705.343452,15419608405.662624,10978918117.710382,5482387288.532851,3925976311.7466445
1,112013157779074.25,1139163659616.8364,316986121009.0808,135835790690.81194,75899936804.83264,45179021573.54998,30563507811.906906,24741479186.3963,16624975769.952702,11965846874.228542
1,106518408376587.8,1089150493884.4963,335304355827.3146,148556761833.75363,81691087656.63794,49654891758.073975,31621443543.177826,22863276018.960087,16320485811.830547,13940787098.46537
1,123947657523114.45,1040550787823.4459,290834859682.5669,146101576625.53,89932907546.24402,60021342669.56797,45414281758.821846,31195701067.721806,14243805850.429043,11032030540.107685
1,125284573693718.06,1083531071666.9724,312716088674.40857,149016733606.68622,84293009107.90936,57789243134.86374,41573847388.576065,29817359886.062355,13909145545.84626,10287821825.726822
1,127324287896258.72,465680011820.0915,152508158907.76917,74215978273.80627,44811252619.01136,31074901935.271744,24435361020.519012,16817906387.315302,5026045906.26305,4211924356.3636074
1,115088634207613.28,494885235507.1692,160195839773.69705,79938225059.37573,44675925391.70651,31890087192.60856,26871703314.41925,19164962579.075516,7046063336.608412,4778281127.591093
1,114897917487155.73,749607828596.6891,208057387015.36365,98892652894.23366,58623473471.75253,38057705825.74153,27366623670.382607,19938662794.238983,10660164458.683403,8751769455.556278
1,125175774777406.48,573802248130.4084,141168551839.83258,75820683477.07413,32521155655.92644,25863659034.90786,20062019275.737072,15319814819.565353,4412124340.379347,3367055672.264022
1,99679633347144.14,611747021818.6605,177624110609.18274,80445135471.36063,47577476758.37196,31562822197.224865,22876606798.15349,16741484001.578327,8964608226.833117,7359691071.089658
