label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29
1,412668481407104.2,3466007992235.005,1271080772332.0222,782487931388.9412,548589212654.57495,385960148281.5946,268504985017.2776,188139669900.29358,126212766790.80722,87769214120.88687,66442167553.7339,53776810233.47656,30918552866.24381,7880676405.630393,5755765231.911536,4486290001.771713,3511754416.5423737,3044122017.887584,2518205121.7321396,2123618765.4414644,2048070285.3944433,1935206880.6607778,1824913623.0399961,1669715751.4904974,1710035385.1877995,1667624249.3384042,1569942234.1229346,806604661.2440553,183735582.09688258,99385511.50240761
1,432814524961328.8,3154168244769.1484,1191352349117.8801,708192311847.4502,498460430008.98816,353580505130.57477,250658603036.14838,174633834229.24762,119079825328.31918,82376654881.65466,65804942456.54128,54004964007.812256,29177672860.873894,9763002043.831902,7197945251.8099785,5844805876.639649,4568901763.663118,4179718253.527733,3801324113.3026595,3068114674.607878,2917256772.6195097,2588419297.276851,2516681503.51145,2231941368.5504293,2111386679.1695445,2158712520.6366115,2008973333.1710525,997553708.1764055,219939752.78999946,97029978.28997067
1,399679252182242.3,3100459996582.08,1186284363731.6162,747624062420.4591,525542720069.01404,368836308806.27637,260101400470.29504,174214163654.5514,114817758175.96075,76082770823.00269,56739706038.781906,44651414105.07132,24899505929.04087,6363198001.314421,4093656777.6403418,3137994473.1546164,2528317257.381702,2242709372.084181,1981795907.0421534,1693523522.873579,1633046126.0412385,1447762571.496765,1367741882.7861145,1241617628.6210651,1288412171.7814674,1256067753.4560943,1132112676.46391,668028672.731034,187373070.94328755,95971036.67681973
1,494985822477484.1,4119947393642.047,1634958585529.4255,1018508400127.1375,722402685597.7134,504171459257.04114,325032213669.5808,207431385964.59607,119682916799.23148,70692049502.32669,44973135732.37451,32756611530.33573,19236139345.12386,7479514658.664207,6070984670.150074,5193810771.87532,4363460603.334736,4174543312.314834,3889946760.515343,3438917378.1241884,3376344252.1325064,3240382886.8463554,3110171471.087039,2854487336.26595,2922781629.921374,2837443078.133241,2556438259.846143,1212014724.9911244,165915270.1622622,97687250.55694152
1,434747275653500.1,3150140129233.333,1240583167020.9858,768418714875.2019,544755930408.50684,385091705579.2676,255900589496.78586,166165139122.71948,103719234967.57062,62704723278.4418,41462318440.59427,30317035187.80319,17429906078.17199,6803359182.910939,5474752607.624798,4683445731.000556,3860524517.184004,3639256294.2121553,3397856943.288668,2898208068.169025,2971797830.891895,2823796405.1333256,2607149412.6993713,2428563886.15514,2555811186.337735,2412001695.3220787,2238056507.9479723,1093112077.8527586,153694420.06656438,91730154.68432589
1,535790952126118.1,3681675945879.549,1458885019558.8447,913249038634.2311,647051211324.3717,458603553551.4053,304045729923.7771,200925816247.21295,122511036066.3996,75207812350.08829,50157522795.29108,36736564018.925644,21353344975.536037,7732246527.508614,6079310225.275944,5329153517.9973345,4548181369.802411,4370296541.512778,3877844110.931016,3499230696.3095884,3451441116.309439,3308163732.1888447,3150487209.5058594,2794784815.174129,2953034559.822373,2917574684.753911,2609473340.5140996,1252997005.5798407,157345109.31238404,94568368.75964847
1,445688970702514.4,4180064915900.2725,1487656357132.4329,896228848906.09,636905657871.3525,439226577586.3692,292747301907.657,197044201801.39084,128138414925.81805,81489884348.04416,58464636803.528725,44340632640.09953,23927561663.933937,9020452916.074194,7042271534.012522,5719555394.731861,4674140377.218468,4147504274.9296484,3689757030.9484468,3191945758.641268,3130309023.286808,2881779898.3375745,2801501840.061794,2433627351.440743,2530976845.560442,2505977508.380168,2258255612.6789675,1087470927.5539398,227377549.35351947,131905330.40600468
1,437044893237560.75,4082925547364.3877,1551009033011.7534,987323463205.5845,702938946161.7432,483330670058.683,317010659255.9818,196508593303.40643,113287807090.16794,67724367638.45797,46229459997.934456,34644786218.30824,20466903630.92574,7725955149.982924,6035427621.008949,4863136808.431999,3884236663.264907,3592410948.095026,3261903454.8023777,2889049217.7197747,2770893187.5277185,2560887386.4541826,2440464576.0893497,2199381154.5484104,2257537844.790567,2238773952.0542216,2005607415.2859972,1039513407.5960076,209805156.57421136,101259217.69472393
1,441113960406318.94,4046720912916.494,1540730424917.7886,993966645694.6233,702141730259.4309,476749437014.916,315954384008.8097,194634434325.4395,116807310364.0268,69706355092.81409,48625595412.1508,36505649442.30223,20861634068.057674,7894757826.050843,6321052444.0784855,4987656991.065185,3927885606.613123,3524025379.865534,3150611356.2133274,2716960649.7327747,2635480276.7174945,2526334206.1439,2341175783.0687056,2126954576.9626024,2122097187.8969927,2137658354.6874404,1993301876.0701494,970945854.6627475,193231939.3602476,99238938.93299128
1,458217744416077.06,3996471061545.968,1499715096614.5415,932198476920.3618,670147607494.5188,469267545380.09045,322388018012.9622,216734972236.81177,138732199531.377,91349880274.93726,67799428828.3071,55113581349.46712,32395859172.623142,6437344742.299622,4148783978.479254,3054166604.6688185,2576914913.1741133,2339670119.6579785,1988504084.1408794,1754047800.9037085,1653174910.7683406,1580437210.1109543,1383974428.8800316,1346166868.577308,1309987072.349309,1273624940.874593,1195900517.8876112,685983355.4777868,189234120.23515487,98581656.51934752
